country,segment,subsegment,source_organization,dataset_name,official_url,data_year,as_of_date,reported_count,unit_definition,geographic_scope,source_tier,confidence,verified_status,deduplication_notes,eligibility_use,limitations,notes
Pakistan,Employers,All establishments,Pakistan Bureau of Statistics,Economic Census 2023 Table 1 Establishments of Pakistan with respect to PSIC Codes and Workforce,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Table_1-6.pdf,2023,2023-01-01 to 2023-12-31,"7,142,941 establishments; workforce 25,344,121","Establishment and reported workforce, not unique legal organization",Pakistan,1,MEDIUM,PROXY,"Do not add branches or establishments to legal-entity counts without a crosswalk",Broad official starting population only,"Includes establishments across public, private, household, and institutional categories; not an active-employer or unique-organization count","Official source directly reports the national total and workforce"
Pakistan,Employers,Workforce,Pakistan Bureau of Statistics,Economic Census 2023 Table 1 Establishments of Pakistan with respect to PSIC Codes and Workforce,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Table_1-6.pdf,2023,2023-01-01 to 2023-12-31,"25,344,121 persons engaged/workforce","Workforce attached to establishments",Pakistan,1,MEDIUM,VERIFIED_EXTERNAL_FACT,"Workforce is not a customer count",Employment-size context,"Does not identify unique employer organizations or paying organizations","Not used as an organization denominator"
Pakistan,Employers,Less than 10 workforce,Pakistan Bureau of Statistics,Economic Census 2023 Table 8 Establishments with respect to Employment Category and PSIC Category,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Table_8-6.pdf,2023,2023-01-01 to 2023-12-31,"6,820,932 establishments","Establishments classified as less than 10 workforce; establishments with missing workforce are included here",Pakistan,1,MEDIUM,PROXY,"Establishment proxy only",Potential size-band filter later,"Not equivalent to businesses with employees; category includes establishments with unreported workforce","No eligibility percentage applied"
Pakistan,Employers,10 or more workforce,Pakistan Bureau of Statistics,Economic Census 2023 Table 8 Establishments with respect to Employment Category and PSIC Category,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Table_8-6.pdf,2023,2023-01-01 to 2023-12-31,"322,009 establishments","Establishments classified as 10 or more workforce",Pakistan,1,MEDIUM,PROXY,"Establishment proxy only",Potential employer-size filter later,"Does not represent all businesses with employees; excludes establishments below 10 workforce and is not a unique-organization count","No eligibility percentage applied"
Pakistan,Employers,New company incorporations,Securities and Exchange Commission of Pakistan,SECP FY2023-24 incorporation release,https://www.secp.gov.pk/media-center/press-releases/secp-registers-27542-new-companies-in-fy-2023-24/,2023-24,2024-07-27,"27,542 new companies","Annual incorporation flow during FY2023-24",Pakistan,2,HIGH,VERIFIED_EXTERNAL_FACT,"Do not treat annual incorporations as cumulative stock or active employers",Annual flow context only,"Does not establish active status, employees, hiring activity, or unique employer suitability","Corrects the prior dataset label"
Pakistan,Employers,Cumulative registered companies,Securities and Exchange Commission of Pakistan,SECP FY2023-24 incorporation release,https://www.secp.gov.pk/media-center/press-releases/secp-registers-27542-new-companies-in-fy-2023-24/,2024,2024-07-27,222697,"Cumulative registered-company stock after FY2023-24 incorporations",Pakistan,2,HIGH,VERIFIED_EXTERNAL_FACT,"Do not add to PBS establishments",Formal incorporated-company cross-check,"Registered-company stock is not active-employer stock and excludes unincorporated businesses","SECP release explicitly says 27,542 new companies raised the total to 222,697"
Pakistan,Employers,Cumulative registered companies,Securities and Exchange Commission of Pakistan,SECP May 2026 incorporation release,https://www.secp.gov.pk/wp-content/uploads/2026/06/Press-Release-June-02-2026-Record-415-Companies-Incorporated-in-a-Single-Day-as-May-Registrations-Reach-3161.pdf,2026,2026-06-02,297239,"Cumulative registered-company stock after May 2026 incorporations",Pakistan,2,HIGH,VERIFIED_EXTERNAL_FACT,"Do not add to PBS establishments or annual flows",Latest formal incorporated-company cross-check located,"Not active-employer stock; excludes unincorporated businesses and does not establish hiring activity","Latest verified cumulative stock located in this pass"
Pakistan,Employers,Active enterprises and establishments,Pakistan Bureau of Statistics,PBS Business Register description,https://www.pbs.gov.pk/docs/business-register/,NOT STATED,accessed 2026-09-10,COUNT NOT VERIFIED,"PBS describes a comprehensive database of active businesses including enterprises and establishments",Pakistan,1,HIGH,COUNT_NOT_VERIFIED,"Enterprise and establishment units must remain distinct",Potential best conceptual source for active organizations,"Public page describes the register but does not publish a national enterprise count; access is restricted","PBS says establishment lists cannot be shared due to confidentiality"
Pakistan,Education & Mobility Providers,Study-abroad consultancies,HEC / federal education authorities,No comprehensive national study-abroad consultancy or education-agent register located in reviewed official sources,https://www.hec.gov.pk/english/news/Documents/NewsViews/2023/April-June-2023.pdf,NOT VERIFIED,accessed 2026-09-10,COUNT NOT VERIFIED,"No direct official national organization count verified",Pakistan,4,LOW,COUNT_NOT_VERIFIED,"Do not substitute OEPs or association members",Research gap only,"HEC warns about education/study-abroad consultants and visa-processing rackets but the reviewed notice does not provide a national register or total count","Direct official count unavailable"
Pakistan,Education & Mobility Providers,Overseas employment promoters,Bureau of Emigration & Overseas Employment,List of Overseas Employment Promoters,https://beoe.gov.pk/list-of-oeps?direction=asc&order=asc&page=5&pe=all&show=active&sort=licence_valid.licence_status_id,NOT VERIFIED,accessed 2026-09-10,COUNT NOT VERIFIED,"Licensed overseas-employment promoter licence records",Pakistan,3,LOW,COUNT_NOT_VERIFIED,"Do not count as Education & Mobility providers without service-level classification",Excluded from current segment denominator,"OEPs recruit for overseas employment; they are not automatically study-abroad, mobility, relocation, or education providers","Dynamic pages showed inconsistent pagination totals and are outside the approved segment definition"
Pakistan,Business / Professional Service Providers,SECP authorized intermediaries,Securities and Exchange Commission of Pakistan,List of Registered Intermediaries updated September 2025,https://www.secp.gov.pk/document/registered-intermediaries-updated-up-to-may-2025/,2025,not stated; accessed 2026-09-10,"110 listed entries (manual count of numbered rows)","Registered intermediary records authorized for company filing/intermediary services; includes individuals and firms",Pakistan,3,MEDIUM,PROXY,"Deduplicate individuals, firms, related entities, and branches before organization count",Strong regulator-backed subset/proxy,"Not a complete corporate-service-provider population; listed entries may have different renewal/status states and are not all equivalent to full-service providers","Manual row count is not an official published aggregate"
Pakistan,Business / Professional Service Providers,Chartered accountant firms,Institute of Chartered Accountants of Pakistan,List of Firms,https://icap.org.pk/members/practice-requirements-plus/firms/,NOT VERIFIED,accessed 2026-09-10,COUNT NOT VERIFIED,"ICAP firm directory; exact total not published in the reviewed page",Pakistan,7,LOW,COUNT_NOT_VERIFIED,"Deduplicate firm names, branches, and related practices",Association/professional-regulator fallback,"Accounting firms are not automatically company-formation or corporate-service providers; current QCR list is only a subset","Use only after service relevance is verified"
Pakistan,Business / Professional Service Providers,ICMAP public-practice firms,Institute of Cost and Management Accountants of Pakistan,Public Practice,https://www.icmap.com.pk/public_practice.aspx,accessed 2026-09-10,accessed 2026-09-10,"Over 150 firms","Official approximate statement about public-practice management-accounting firms",Pakistan,7,MEDIUM,PROXY,"Organization-level firm reference; do not count individual COP members as firms",Lower-bound/reference subset only,"Approximate wording; not a complete business-services population and may overlap SECP intermediaries or ICAP firms","ICMAP says public-practice function is supported by over 150 firms"
Pakistan,Business / Professional Service Providers,Corporate-service providers,Securities and Exchange Commission of Pakistan,No comprehensive national corporate-service-provider register verified; SECP registered-intermediary list is the strongest reviewed subset,https://www.secp.gov.pk/company-formation/online-company-formation/,NOT VERIFIED,accessed 2026-09-10,COUNT NOT VERIFIED,"No direct national total for all corporate-service providers",Pakistan,3,MEDIUM,COUNT_NOT_VERIFIED,"Use SECP intermediary records as a subset, not as total market",Research gap and proxy basis,"Generic accountants, lawyers, and consultants must not be treated as STRIDETO providers without service evidence","SECP confirms authorized intermediaries exist but does not provide a complete all-provider total on the reviewed page"
Pakistan,Institutions,Universities and degree-awarding institutions,Pakistan Bureau of Statistics,Economic Census 2023 Table 7 Establishments with respect to Unit Type and Workforce,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Table_7-2.pdf,2023,2023-01-01 to 2023-12-31,214,"University establishments and workforce; establishment unit, not necessarily HEC-recognized unique institution",Pakistan,1,MEDIUM,PROXY,"Keep institution, campus, and affiliated college dimensions separate",Non-monetized supply-side reference only,"Economic Census unit-type count is not the same as HEC recognition status or legal-entity count","Never multiply by ARPA"
Pakistan,Institutions,Colleges,Pakistan Bureau of Statistics,Economic Census 2023 Table 7 Establishments with respect to Unit Type and Workforce,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Table_7-2.pdf,2023,2023-01-01 to 2023-12-31,"11,568 establishments","College establishments and workforce",Pakistan,1,MEDIUM,PROXY,"Do not add colleges to universities; preserve source unit",Non-monetized supply-side reference only,"Includes establishment-level coverage and is not necessarily a recognized/legal institution count","Never multiply by ARPA"
Pakistan,Institutions,Schools,Pakistan Bureau of Statistics,Economic Census 2023 Table 7 Establishments with respect to Unit Type and Workforce,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Table_7-2.pdf,2023,2023-01-01 to 2023-12-31,"242,616 establishments","School establishments and workforce",Pakistan,1,MEDIUM,PROXY,"Campus/branch and school-system deduplication required",Non-monetized supply-side reference only,"School establishments are outside the primary monetized segments and are included only as platform context","Never multiply by ARPA"
Pakistan,Institutions,Universities,Pakistan Ministry of Finance / Pakistan Institute of Education,Pakistan Economic Survey 2024-25 Table 10.1 using 2023-24 estimated institution data,https://www.finance.gov.pk/survey/chapter_25/10_Education.pdf,2023-24,2023-24 estimated,269,"Universities in thousands table, converted from 0.269 thousand; national education-statistics definition",Pakistan,1,MEDIUM,VERIFIED_EXTERNAL_FACT,"Keep separate from HEC campus count and PBS establishment count",Non-monetized supply-side reference only,"Estimate and source definitions differ from HEC recognized-campus page","Never multiply by ARPA"
Pakistan,Institutions,Degree colleges,Pakistan Ministry of Finance / Pakistan Institute of Education,Pakistan Economic Survey 2024-25 Table 10.1 using 2023-24 estimated institution data,https://www.finance.gov.pk/survey/chapter_25/10_Education.pdf,2023-24,2023-24 estimated,2516,"Degree colleges in thousands table, converted from 2.516 thousand",Pakistan,1,MEDIUM,VERIFIED_EXTERNAL_FACT,"Keep separate from PBS college establishments",Non-monetized supply-side reference only,"Estimated national education-statistics count; definition may differ from legal/recognized institution", "Never multiply by ARPA"
Pakistan,Institutions,Technical and vocational institutes,Pakistan Ministry of Finance / Pakistan Institute of Education,Pakistan Economic Survey 2024-25 Table 10.1 using 2023-24 estimated institution data,https://www.finance.gov.pk/survey/chapter_25/10_Education.pdf,2023-24,2023-24 estimated,4563,"Technical and vocational institutes in thousands table, converted from 4.563 thousand",Pakistan,1,MEDIUM,VERIFIED_EXTERNAL_FACT,"Preserve as separate training-provider dimension",Non-monetized supply-side reference only,"Estimated count; not the same as commercial Education/Mobility provider organizations", "Never multiply by ARPA"
